distance,brightness 1,brightness 2,brightness 3,avg,avg brightness
0,8460,8460,8460,8460.0,8460.0
10,2999,2748,2676,2807.6666666666665,2807.6666666666665
20,898,815,815,842.6666666666666,842.6666666666666
30,436,383,383,400.6666666666667,400.6666666666667
40,234,228,225,229.0,229.0
50,151,155,153,153.0,153.0
60,108,111,111,110.0,110.0
70,83,83,81,82.33333333333333,82.33333333333333
80,64,64,62,63.333333333333336,63.333333333333336
90,51,51,49,50.333333333333336,50.333333333333336
100,42,40,40,40.666666666666664,40.666666666666664
