Year,Temp Anomaly (C)
1880,-0.116
1881,-0.064
1882,-0.069
1883,-0.145
1884,-0.205
1885,-0.216
1886,-0.199
1887,-0.247
1888,-0.148
1889,-0.099
1890,-0.319
1891,-0.243
1892,-0.299
1893,-0.31
1894,-0.272
1895,-0.218
1896,-0.083
1897,-0.111
1898,-0.255
1899,-0.114
1900,-0.065
1901,-0.135
1902,-0.242
1903,-0.331
1904,-0.416
1905,-0.287
1906,-0.211
1907,-0.369
1908,-0.437
1909,-0.423
1910,-0.379
1911,-0.433
1912,-0.328
1913,-0.318
1914,-0.139
1915,-0.066
1916,-0.288
1917,-0.309
1918,-0.197
1919,-0.192
1920,-0.203
1921,-0.141
1922,-0.224
1923,-0.208
1924,-0.244
1925,-0.14
1926,-0.057
1927,-0.143
1928,-0.168
1929,-0.291
1930,-0.096
1931,-0.069
1932,-0.116
1933,-0.243
1934,-0.1
1935,-0.137
1936,-0.113
1937,-0.015
1938,-0.024
1939,-0.01
1940,0.098
1941,0.194
1942,0.153
1943,0.154
1944,0.289
1945,0.168
1946,-0.007
1947,-0.053
1948,-0.054
1949,-0.062
1950,-0.164
1951,-0.014
1952,0.023
1953,0.091
1954,-0.118
1955,-0.137
1956,-0.203
1957,0.047
1958,0.108
1959,0.056
1960,0.015
1961,0.074
1962,0.089
1963,0.107
1964,-0.151
1965,-0.08
1966,-0.025
1967,-0.017
1968,-0.033
1969,0.089
1970,0.035
1971,-0.082
1972,0.027
1973,0.162
1974,-0.074
1975,0.001
1976,-0.081
1977,0.195
1978,0.11
1979,0.223
1980,0.262
1981,0.298
1982,0.179
1983,0.337
1984,0.147
1985,0.128
1986,0.227
1987,0.368
1988,0.374
1989,0.293
1990,0.427
1991,0.402
1992,0.254
1993,0.28
1994,0.334
1995,0.451
1996,0.317
1997,0.513
1998,0.629
1999,0.437
2000,0.422
2001,0.543
2002,0.598
2003,0.607
2004,0.573
2005,0.655
2006,0.608
2007,0.606
2008,0.538
2009,0.633
2010,0.699
2011,0.576
2012,0.621
2013,0.665
2014,0.74
2015,0.903
2016,0.943
2017,0.842
2018,0.77
