Clade,Genus,Species,Femur length (mm)
Ornithischia,Anatosaurus*,copei*,1150
Ornithischia,Bactrosaurus,johnsoni,790.5
Ornithischia,Corythosaurus,casuarius,1080
Ornithischia,Edmontosaurus,annectens,1068.5
Ornithischia,Edmontosaurus,regalis,1245
Ornithischia,Gasparinisaura,cincosaltensis,94.7
Ornithischia,Huayangosaurus,taibaii,510
Ornithischia,Hypacrosaurus,altispinus,1074
Ornithischia,Hypsilophodon,foxii,150
Ornithischia,Iguanodon,atherfieldensis,670
Ornithischia,Kentrosaurus,*,633
Ornithischia,Leptoceratops,gracilis,270
Ornithischia,Muttaburrasaurus,langdoni,1015
Ornithischia,Parkosaurus,warreni,270
Ornithischia,Psittacosaurus,mongoliensis,157
Ornithischia,Sauropelta,edwardsi,700
Ornithischia,Stegosaurus,armatus,1053
Ornithischia,Triceratops,prorsus,1104
Ornithischia,Tuojiangosaurus,multispinus,875
Sauropodomorpha,Alamosaurus,sanjuanensis,1610
Sauropodomorpha,Amargasaurus,cazaui,1050
Sauropodomorpha,Apatosaurus,*,1785
Sauropodomorpha,Apatosaurus,excelsus,1775
Sauropodomorpha,Apatosaurus,louisae,1785
Sauropodomorpha,Barosaurus,*,1520
Sauropodomorpha,Brachiosaurus,altithorax,2030
Sauropodomorpha,Brachiosaurus*,brancai*,2028
Sauropodomorpha,Camarasaurus,lewisi,1525
Sauropodomorpha,Camarasaurus,supremus,1341
Sauropodomorpha,Cetiosaurus,oxoniensis,1660
Sauropodomorpha,Dicraeosaurus,hansemanni,1220
Sauropodomorpha,Diplodocus,*,1506
Sauropodomorpha,Diplodocus,carnegiei,1540
Sauropodomorpha,Euhelopus,zdanskyi,955
Sauropodomorpha,Haplocanthosaurus,*,1745
Sauropodomorpha,Haplocanthosaurus,priscus,1275
Sauropodomorpha,Janenschia,robustus,1270
Sauropodomorpha,Jobaria,tiguidensis,1800
Sauropodomorpha,Mamenchisaurus,hochuanensis,1350
Sauropodomorpha,Mamenchisaurus,hochuanensis,1275
Sauropodomorpha,Northampton*,sauropod*,1320
Sauropodomorpha,Omeisaurus,tianfuensis,1215
Sauropodomorpha,Opisthocoelicaudia,skarzynskii,1395
Sauropodomorpha,Patagosaurus,*,1360
Sauropodomorpha,Riojasaurus,*,600
Sauropodomorpha,Shunosaurus,lii,865
Theropoda,Afrovenator,abakensis,760
Theropoda,Albertosaurus,*,905
Theropoda,Allosaurus,fragilis,874
Theropoda,Allosaurus,fragilis,850
Theropoda,Anserimimus,*,433
Theropoda,Avimimus,portentosus,205
Theropoda,Carnotaurus,sastrei,1030
Theropoda,Coelophysis,bauri,209
Theropoda,Daspletosaurus,*,1006
Theropoda,Deinonychus,antirrhopus,336
Theropoda,Deltadromeus,agilis,740
Theropoda,Dilophosaurus,wetherilli,551
Theropoda,Dromiceiomimus,*,454
Theropoda,Elaphrosaurus,bambergi,519
Theropoda,Eoraptor,lunensis,154
Theropoda,Gallimimus,bullatus,673
Theropoda,Gallimimus,bullatus,270
Theropoda,Giganotosaurus,carolinii,1430
Theropoda,Gorgosaurus,libratus,905
Theropoda,Herrerasaurus,ischigualastensis,345
Theropoda,Ornitholestes,hermanni,210
Theropoda,Ornithomimus,edmontonensis,443
Theropoda,Oviraptor,philoceratops,303
Theropoda,Saurornitholestes,langstoni,214
Theropoda,Sinraptor,dongi,884
Theropoda,Sinraptor,dongi,876
Theropoda,Struthiomimus,altus,486
Theropoda,Syntarsus,rhodesiensis,208
Theropoda,Tarbosaurus,*,854
Theropoda,Tyrannosaurus,rex,1273
Theropoda,Tyrannosaurus,rex,1314.5
