Genus,Species,Body weight (g),Brain weight (g),Brain volume (mm3)
Alytes,obstetricans,7.7,0.041,
Bombina,maxima,18.5439,0.0453,22
Bombina,maxima,11.7013,0.05298,26.8
Bombina,maxima,22.4508,0.0587,29.87
Bombina,maxima,23.5498,0.0338,
Bombina,maxima,23.091,0.04,
Bombina,maxima,20.6702,0.041,
Bombina,maxima,18.5245,0.0482,18.76
Bombina,maxima,16.8925,0.0443,24.5
Bombina,maxima,16.705,0.0393,18.44
Bombina,maxima,20.8968,0.0589,26.41
Bombina,maxima,19.4536,0.047,22.15
Bombina,maxima,23.7264,0.0511,23.41
Bufo,bufo,44.5,0.073,
Bufo,gargarizans,23.531,0.093828,52.33
Bufo,gargarizans,25.522,0.097572,54.67
Bufo,gargarizans,24.5213,0.098564,55.29
Bufo,gargarizans,19.325,0.105108,59.38
Bufo,gargarizans,21.454,0.10554,59.65
Bufo,gargarizans,23.567,0.108724,61.64
Bufo,gargarizans,22.5478,0.109604,62.19
Bufo,gargarizans,31.5541,0.120788,69.18
Bufo,gargarizans,21.5535,0.121204,69.44
Bufo,gargarizans,30.5123,0.124916,71.76
Bufo,gargarizans,83.55,0.099108,55.63
Bufo,gargarizans,89.48,0.107156,60.66
Bufo,gargarizans,89.88,0.111636,63.46
Bufo,gargarizans,89.59,0.120196,68.81
Bufo,gargarizans,87.86,0.127236,73.21
Bufo,gargarizans,87.61,0.13714,79.4
Bufo,gargarizans,40.835,0.060836,31.71
Bufo,gargarizans,23.9,0.1045,
Bufo,gargarizans,32.83,0.0949,
Bufo,gargarizans,28.27,0.1225,
Bufo,gargarizans,39.05,0.1227,
Bufo,gargarizans,32.85,0.1033,
Bufo,gargarizans,33.39,0.1383,
Bufo,gargarizans,33.54,0.1053,
Bufo,gargarizans,31.78,0.1448,
Bufo,gargarizans,35.21,0.148,
Bufo,gargarizans,45.37,0.1201,
Bufo,gargarizans,42.44,0.087,
Bufo,gargarizans,40.66,0.1485,
Bufo,gargarizans,34.93,0.1278,
Bufo,gargarizans,41.52,0.1183,
Bufo,gargarizans,44.89,0.103,
Bufo,gargarizans,40.15,0.1024,
Bufo,gargarizans,55.53,0.1237,
Bufo,gargarizans,58.16,0.1627,
Bufo,gargarizans,120.82,0.2246,
Bufo,gargarizans,127.24,0.2638,
Bufo,gargarizans,101.26,0.1649,
Bufo,gargarizans,120.84,0.2485,
Bufo,gargarizans,149.65,0.2228,
Bufo,gargarizans,128.97,0.2485,
Bufo,gargarizans,140.67,0.1741,
Bufo,gargarizans,33.203,0.0722,37.6
Bufo,gargarizans,36.9649,0.0594,29.07
Bufo,gargarizans,35.363,0.0561,23.08
Bufo,melanostictus,20.35,0.051636,25.96
Bufo,tibetanus,29.9413,0.050244,25.09
Bufo,tibetanus,13.1206,0.052724,26.64
Chaparana,quadranus,30.32,0.057236,29.46
Chaparana,quadranus,47.66,0.065364,34.54
Chaparana,quadranus,51.97,0.068964,36.79
Chaparana,quadranus,33.6592,0.07716,
Chaparana,quadranus,37.8951,0.0409,
Chaparana,quadranus,53.3553,0.0485,
Fejervarya,limnocharis,4.17,0.040228,18.83
Fejervarya,limnocharis,3.7257,0.040772,19.17
Fejervarya,limnocharis,5.72,0.042612,20.32
Fejervarya,limnocharis,5.48,0.044292,21.37
Fejervarya,limnocharis,6.28,0.051156,25.66
Fejervarya,limnocharis,3.2103,0.0294,
Fejervarya,limnocharis,3.9442,0.0312,
Fejervarya,limnocharis,3.5128,0.0314,
Fejervarya,limnocharis,3.5079,0.0263,
Fejervarya,limnocharis,4.4849,0.0395,
Fejervarya,limnocharis,4.4172,0.0325,
Fejervarya,limnocharis,4.5067,0.036,
Fejervarya,limnocharis,4.1263,0.0326,
Fejervarya,limnocharis,4.2401,0.0276,
Fejervarya,limnocharis,4.942,0.0331,
Fejervarya,limnocharis,4.7152,0.0278,
Fejervarya,limnocharis,4.0588,0.0304,
Fejervarya,limnocharis,4.2064,0.0306,
Fejervarya,limnocharis,4.9298,0.0272,
Fejervarya,limnocharis,4.8779,0.0277,
Fejervarya,limnocharis,4.8117,0.0342,
Fejervarya,limnocharis,4.6327,0.0386,
Fejervarya,limnocharis,4.8173,0.0315,
