Genus,Species,Brain mass (g),Body mass (g)
Uria,aalge,4.95,934.5
Uria,aalge,5.631,1184
Uria,aalge,4.903,714
Uria,aalge,4.36,633
Uria,aalge,4.193,586
Uria,aalge,4.55,630.5
Uria,aalge,5.023,1025
Uria,aalge,5.12,1015.5
Ciconia,abdimii,7.3,950
Deroptyus,accipitrinus,8.9,232.6
Calidris,acuminata,0.862,65.496
Anas,acuta,4.9548,670
Anas,acuta,5.241,1480
Poephila,acuticauda,0.481,12.826
Troglodytes,aedon,0.45,12.2
Troglodytes,aedon,0.6,12.1
Alopochen,aegyptiaca,7.64,1935
Pluvianus,aegyptius,1.15,60.3
Circus,aeruginosus,5.347,335
Circus,aeruginosus,5.619,545
Circus,aeruginosus,5.953,540
Amazona,aestiva,6.738,431.13
Amazona,aestiva,6.98,203
Amazona,aestiva,8.98,393.5
Amazona,aestiva,7.449,376.76
Amazona,aestiva,7.98,382.4
Amazona,aestiva,7.6,261.3
Amazona,aestiva,7.7,288.6
Amazona,aestiva,8.911,408.64
Turtur,afer,0.7,57.6
Euplectes,afer,0.612,10.485
Euplectes,afer,0.742,15.137
Mycerobas,affinis,1.839,59.618
Mycerobas,affinis,1.759,49.861
Mycerobas,affinis,1.55,61.98
Gyps,africanus,19.6,5270
Actophilornis,africanus,1.35,88
Phrygilus,alaudinus,0.7,16.6
Phrygilus,alaudinus,0.763,19.925
Motacilla,alba,0.52,18.3
Motacilla,alba,0.521,19.259
Motacilla,alba,0.54,19.6
Motacilla,alba,0.45,20
Motacilla,alba,0.66,22.2
Motacilla,alba,0.548,22.569
Motacilla,alba,0.569,18.373
Motacilla,alba,0.524,23.666
Motacilla,alba,0.524,23.666
Motacilla,alba,0.5,20
Motacilla,alba,0.555,22.913
Motacilla,alba,0.566,20.241
Motacilla,alba,0.538,20.635
Motacilla,alba,0.441,21.096
Motacilla,alba,0.7,20.7
Motacilla,alba,0.61,19.2
Motacilla,alba,0.574,21.725
Motacilla,alba,0.582,21.577
Motacilla,alba,0.71,20.9
Motacilla,alba,0.53,20.9
Cacatua,alba,11.138,334.5
Tyto,alba,5.425,277.596
Tyto,alba,5.813,276.135
Tyto,alba,5.389,181.102
Tyto,alba,5.843,306.645
Tyto,alba,5.843,306.645
Tyto,alba,6.605,205.056
Tyto,alba,4.916,209.582
Tyto,alba,5.774,288
Tyto,alba,5.488,253.446
Tyto,alba,5.1,225.098
Tyto,alba,6.586,200.474
Tyto,alba,5.298,324.123
Tyto,alba,6.554,338.58
Tyto,alba,5.322,188.829
Tyto,alba,5.628,218.277
Tyto,alba,5.646,226.5
Tyto,alba,5.21,227.43
Tyto,alba,5.759,227
Tyto,alba,5.786,234.35
Tyto,alba,4.816,304.781
Tyto,alba,5.816,197.416
Tyto,alba,5.512,235.359
Tyto,alba,5.49,289
Tyto,alba,5.49,289
Tyto,alba,4.728,241.807
Tyto,alba,5.226,296.529
Tyto,alba,5.217,271
Tyto,alba,5.316,215.5
Tyto,alba,5.018,290.594
Tyto,alba,5.42,268
Tyto,alba,6.106,204.536
Tyto,alba,5.219,224.053
Tyto,alba,5.569,211.208
Tyto,alba,5.135,258.02
Tyto,alba,5.723,225.63
Tyto,alba,5.109,202.079
Tyto,alba,5.966,230.931
Tyto,alba,6.139,285.516
Tyto,alba,6.053,219.439
Tyto,alba,5.465,224
Tyto,alba,5.616,249.176
Tyto,alba,5.264,232.559
Tyto,alba,5.497,245.464
Tyto,alba,5.481,224.779
Tyto,alba,5.971,234.44
Tyto,alba,5.768,241.285
Tyto,alba,6.096,217
Tyto,alba,6.229,236.92
Tyto,alba,5.483,228.833
Tyto,alba,6.229,368.69
Tyto,alba,5.35,242.4
Tyto,alba,5.05,263.8
Tyto,alba,6.012,243.671
Tyto,alba,5.959,248.911
Tyto,alba,4.579,224.471
Tyto,alba,5.995,222.2
Tyto,alba,5.708,225.369
Tyto,alba,5.341,218.144
Tyto,alba,5.108,244.5
Tyto,alba,6.203,241.005
Tyto,alba,4.75,304
Tyto,alba,6.896,302.521
Tyto,alba,5.256,218.032
