Genus,Species,Body weight (g),Brain weight (g),Total length (cm)
Acipenser,transmontanus,3520,0.65,
Scaphirhynchus,platorynchus,510,0.236,
Scaphirhynchus,platorynchus,510,0.2567,
Amia,calva,727,0.3755,
Anguilla,anguilla,650,0.17,
Ariosoma,balearicum,33,0.0546,
Conger,conger,2200,0.525,101.5
Conger,conger,2250,0.488,
Conger,conger,2350,0.502,97
Conger,conger,2400,0.538,101
Conger,conger,2450,0.482,97.5
Conger,conger,2550,0.625,105.5
Conger,conger,2700,0.489,98.5
Conger,conger,2820,0.516,106.5
Conger,conger,2950,0.533,105.8
Conger,conger,3000,0.575,105
Conger,conger,3100,0.491,104
Conger,conger,3250,0.534,107.8
Conger,conger,3300,0.544,105.5
Conger,conger,3500,0.571,115
Conger,conger,3500,0.602,113
Conger,conger,3650,0.578,113
Conger,conger,4000,0.578,118
Conger,conger,4100,0.612,121
Conger,conger,4300,0.626,112
Conger,conger,4500,0.625,121.5
Conger,conger,4500,0.689,122
Conger,conger,4650,0.628,114.5
Conger,conger,4700,0.659,125
Conger,conger,5000,0.605,
Conger,conger,5000,0.621,121
Conger,conger,5200,0.705,127.5
Conger,conger,5300,0.727,129.5
Conger,conger,5350,0.718,129.5
Conger,conger,6700,0.611,131
Conger,conger,10500,0.811,
Conger,conger,10000,1.05,
Conger,conger,33.7,0.111,31.5
Conger,conger,538,0.327,67.5
Conger,conger,690,0.412,69
Conger,conger,950,0.405,79.5
Conger,conger,956,0.382,80
Conger,conger,978,0.451,80.2
Conger,conger,1242,0.474,82.5
Conger,conger,1250,0.437,91.5
Conger,conger,1350,0.424,83
Conger,conger,1509,0.536,85.2
Conger,conger,1550,0.456,86
Conger,conger,1600,0.49,75
Conger,conger,1740,0.446,90.8
Conger,conger,1750,0.463,
Conger,conger,1790,0.517,90.2
Conger,conger,1800,0.404,89
Conger,conger,2000,0.491,89.5
Echidna,nebulosa,26,0.032,28.2
Echidna,nebulosa,44.7,0.045,
Enchelynassa,canina,555,0.198,73
Gymnothorax,buroensis,106,0.131,37.2
Gymnothorax,eurostus,48,0.099,
Gymnothorax,favagineus,900,0.165,
Gymnothorax,flavimarginatus,590,0.233,71
Gymnothorax,flavimarginatus,1475,0.259,88.5
Gymnothorax,funebris,3510,0.51,
Gymnothorax,griseus,123,0.072,
Gymnothorax,javanicus,8100,0.654,142
Gymnothorax,margaritophorus,207,0.136,
Gymnothorax,melatremus,3,0.009,13.2
Gymnothorax,meleagris,206,0.686,
Gymnothorax,pictus,425,0.202,62
Gymnothorax,rueppellii,32.6,0.052,28.9
Gymnothorax,undulatus,1050,0.202,78
Gymnothorax,undulatus,1050,0.204,
Gymnothorax,undulatus,2280,0.306,120
Gymnothorax,undulatus,415,0.178,65
Gymnothorax,undulatus,675,0.189,
Gymnothorax,zonipectis,11.2,0.032,21.2
Nemichthys,scolopaceus,14,0.0316,
Nemichthys,scolopaceus,58,0.0417,11.2
Serrivomer,beanii,136,0.0346,
Serrivomer,beanii,71,0.025,
Simenchelys,parasitica,91,0.244,
