Genus,Species,Brain mass (g),Body mass (g)
Sciurus,aberti,6.85,626.5
Cynomops,abrasus,0.418,33.3
Myoprocta,acouchy,9.9,782
Rhinolophus,acuminatus,0.302,12.1
Lagenorhynchus,acutus,1200,120000
Canis,adustus,56.5,12000
Myotis,adversus,0.2545,11.25
Tadarida,aegyptiaca,0.393,17.7
Rousettus,aegyptiacus,2.6,130
Phacochoerus,aethiopicus,125,65320
Chlorocebus,aethiops,66.1,3220
Chlorocebus,aethiops,66.3,5230
Chlorocebus,aethiops,36.54,1370
Chlorocebus,aethiops,60,1908
Orycteropus,afer,72,52500
Rhinolophus,affinis,0.3475,13.5
Ratufa,affinis,9.85,982.5
Coleura,afra,0.2585,11.5
Gerbilliscus,afra,1.56,65
Loxodonta,africana,4050,1793300
Loxodonta,africana,4420,3505000
Loxodonta,africana,9000,4380000
Loxodonta,africana,4000,5174400
Loxodonta,africana,5712,6654000
Loxodonta,africana,4480,2750000
Phacochoerus,africanus,132.5,67000
Atherurus,africanus,18.47,2685
Atherurus,africanus,25.3,3620
Cercocebus,agilis,95.3,4700
Hylobates,agilis,77,4536
Hylobates,agilis,76,5333
Hylobates,agilis,86.5,5670
Hylobates,agilis,96.9,4309
Hylobates,agilis,108.7,4879
Hylobates,agilis,83,4989
Hylobates,agilis,79.2,5443
Hylobates,agilis,81.5,5670
Hylobates,agilis,93,5897
Hylobates,agilis,98.9,5897
Hylobates,agilis,89,6350
Hylobates,agilis,87.5,7372
Dipodomys,agilis,1.34,61.4
Apodemus,agrarius,0.2,33.3
Microtus,agrestis,0.9,42.5
Microtus,agrestis,0.57,22.3
Microtus,agrestis,0.9,42.5
Myotis,albescens,0.126,4
Ichneumia,albicauda,28.3,4400
Ichneumia,albicauda,30,5000
Mystromys,albicaudatus,1.39,80
Cebus,albifrons,60.7,1470
Cebus,albifrons,65.2,1770
Eulemur,albifrons,22.3,1540
Lophocebus,albigena,89.6,2350
Lophocebus,albigena,104,7900
Neotoma,albigula,2.17,223.1
Lagenorhynchus,albirostris,1126,67500
Nyctimene,albiventer,0.825,29.7
Noctilio,albiventris,0.55,38.5
Atelerix,albiventris,2.24,280
Alces,alces,407,272160
Alces,alces,436,200000
Cyttarops,alecto,0.175,5.3
Pteropus,alecto,7.03967,595
Notomys,alexis,0.96,37
Atelerix,algirus,3.2,790
Neofiber,alleni,2.72,270.5
Myotis,altarium,0.24,11
Antilocapra,americana,130.2,34474
Antilocapra,americana,121,59000
Ursus,americanus,248,25990
Ursus,americanus,425,225000
