YEAR	FOCAL_DEPTH	EQ_PRIMARY	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DEATHS	DAMAGE_MILLIONS_DOLLARS	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	HOUSES_DAMAGED
1800			MEXICO		"MEXICO:  MEXICO CITY,OAXACA"	19.2	-99.1	150					
1800			CANARY ISLANDS		CANARY ISLANDS:  PENON DE LA GOMERA	28.1	-17.1	10					
1800		6.5	IRAN		IRAN:  DAMAVAND	36.2	53.3	140					
1801			MEXICO		MEXICO:  OAXACA	17	-96.3	150	7				
1801			SWITZERLAND		SWITZERLAND	46.9	8.6	120					
1802			VENEZUELA		VENEZUELA: CUMANA	10.3	-64.5	160					
1802			ANTIGUA AND BARBUDA		ANTIGUA ISLAND &  ST. CHRISTOPHER	17.2	-62.4	90					
1802			ALGERIA		"ALGERIA:  KOLEA, BLIDA, ALGIERS"	36.5	2.9	15			1100	4	1100
1802			ITALY		ITALY:  SONCINO	45.5	10	130					
1802	150	7.4	ROMANIA		"ROMANIA:  CARPATHIAN FOLD,VRANCEA"	45.7	26.6	110					
1802			INDONESIA		INDONESIA:  BANDA SEA	-3.7	128.2	170					
1802		6.6	JAPAN		"JAPAN:  NW HONSHU:  SADO ISLAND, OGI"	37.7	138.3	30	19		1060	4	
1803			INDIA		INDIA:  MATHURA (MUTTRA)	27.5	77.5	60					
1803		6	CHINA		CHINA:  YUNNAN PROVINCE	25.6	100.6	30	200			2	
1804			SPAIN		SPAIN:  ALMERIA:  DALIAS	36.833	-2.833	130					
1804			SPAIN		"SPAIN: ALMERIA, DALIAS, ROQUETAS"	36.9	-2.4	130	162			3	
1804			GREECE		GREECE:  PATRAI	38.2	21.8	130					
1804			GREECE		GREECE:  ACHAIA:  PATRAI (PATRAS)	38.3	21.8	130					
1804		7.3	JAPAN		JAPAN:  KISAKATA	39.05	139.95	30	450		10810	4	
1805			COLOMBIA		"COLOMBIA:  HONDA,MARIQUITA"	5.3	-74.6	160	200				
1805			VENEZUELA		VENEZUELA:  CUMANA	10.5	-64.2	160					
1805			ITALY		"ITALY:  MOLISE, ROSOLONE, NAPOLI (NAPLES), ISERNIA"	41.2	14.7	130	5600				
1805			IRAN		IRAN:  BABOL	36.3	52.4	140					
1806			USA	CA	CALIFORNIA:  SANTA BARBARA	34.4	-119.7	150					
1806		7.5	MEXICO		"MEXICO:  JALISCO,OAXACA,MICHOACAN"	18.9	-103.8	150					
1806	30	7.5	PERU		PERU:  LIMA	-12.1	-77.1	160					
1806			ITALY		ITALY:  TYRRHENIAN SEA	41.7	12.7	130					
1808			ECUADOR		ECUADOR:  QUITO	-0.217	-78.5	160					
1808			MOROCCO		MOROCCO:  MELILLA	35.3	-2.97	15					
1808		5.7	ITALY		"ITALY:  VALLEY OF PELLICE, CHISONE"	44.833	7.25	130	2				
1808			IRAN		IRAN:  QAZVIN-TALEQAN	36.2	50	140					
1808			IRAN		"IRAN:  DODANGEH, E MAZANDARAN"	36.3	53.3	140					
1808		6.5	JAPAN		"E. AWA, TOKUSHIMA PREFECTURE"	33.9	134.8	30					
1809			SOUTH AFRICA		SOUTH AFRICA:  CAPE OF GOOD HOPE	-33.88	18.45	10					
1809			IRAN		"IRAN:  SARI,AMOL,MAZANDARAN"	36.3	53	140					
1809			USA TERRITORY	GU	GUAM	14	143.3	170					
1810			CUBA		"CUBA:  HAVANA,SANTIAGO DE CUBA"	23.8	-82.2	90					
1810			CANARY ISLANDS		CANARY ISLANDS:  TENERIFE	28.2	-16.6	10					
1810	100		GREECE		GREECE:  CRETE:  IRAKLION (CANDIA)	35.5	25	130	2000			3	
1810		6.6	JAPAN		JAPAN:  OGA	39.9	139.9	30	59		1804	4	
1811		7.5	USA	AR	ARKANSAS: NORTHEAST (NEW MADRID EARTHQUAKES)	35.6	-90.4	150					
1811		7	USA	AR	ARKANSAS: NORTHEAST (NEW MADRID EARTHQUAKES)	35.6	-90.4	150					
1811			CHILE		CHILE:  VALPARAISO	-33.08	-71.67	160					
1811	7	4.2	GEORGIA		GEORGIA:  KAKHETIYA	41.8	45.2	40					
1811		6.5	CHINA		CHINA:  SICHUAN PROVINCE:  E. OF GANZE	31.7	100.3	30	480		598	3	
1811		7	TAIWAN		TAIWAN:  DANSHUI:  OFF WEST COAST	25.2	121.3	30	21				
1811			PHILIPPINES		PHILIPPINES:  CAMARINES	13.1	123.9	170					
1812		7.5	USA	CA	CALIFORNIA:   PURISIMA	34.2	-119.9	150	1				100
1812		6.9	USA	CA	CALIFORNIA:   SAN JUAN CAPISTRANO	34.37	-117.65	150	40				
1812		7.3	USA	MO	MISSOURI:  NEW MADRID	36.3	-89.6	150					
1812		7.5	USA	MO	MISSOURI:  NEW MADRID	36.5	-89.6	150					
1812			JAMAICA		JAMAICA:  KINGSTON	18	-76.8	90					
1812	33	7.7	VENEZUELA		VENEZUELA:  LA GUAIRA	10.6	-66.9	160	26000				
1812			FRANCE		FRANCE:	43.3	5.366	120					
1812			FRANCE		"FRANCE:  BEAUMONT,PIERREVERT,SAINTE TULLE,MANOSQUE"	43.7	5.7	120					
1812			ITALY		ITALY:  ROMA (ROME)	41.9	12.45	130					
1812		8	CHINA		CHINA:  XINJIANG PROVINCE	43.7	83	40					
1812		6.6	JAPAN		JAPAN	35.4	139.6	30					
1813			PERU		PERU:  ICA	-14.1	-75.4	160	32				
1813			IRAN		IRAN:  SHIRAZ	29.6	52.6	140					
1814			FRANCE		"FRANCE:  GAN,OLORON,LOUVIE-JUZON,BENEJACQ,TARBES"	43.2	0.4	120					
1814		6	CHINA		CHINA:  YUNNAN PROVINCE:  SIPING	23.7	102.5	30	900		900	3	
